OverallADP,ADPValue
1,357.07
2,315.0652809
3,290.4940953
4,273.0605617
5,259.5380625
6,248.4893762
7,239.147845
8,231.0558426
9,223.9181906
10,217.5333434
11,211.7575465
12,206.484657
13,201.6340689
14,197.1431258
15,192.9621578
16,189.0511234
17,185.3772714
18,181.9134715
19,178.6369979
20,175.5286242
21,172.5719403
22,169.7528273
23,167.0590505
24,164.4799379
25,162.006125
26,159.6293498
27,157.3422859
28,155.1384067
29,153.0118727
30,150.9574387
31,148.9703754
32,147.0464043
33,145.1816418
34,143.3725522
35,141.6159075
36,139.9087523
37,138.2483745
38,136.6322787
39,135.0581642
40,133.5239051
41,132.0275328
42,130.5672211
43,129.141273
44,127.7481082
45,126.3862531
46,125.0543314
47,123.7510553
48,122.4752187
49,121.2256899
50,120.0014059
51,118.8013667
52,117.6246307
53,116.47031
54,115.3375668
55,114.225609
56,113.1336875
57,112.0610932
58,111.0071536
59,109.9712309
60,108.9527195
61,107.9510438
62,106.9656563
63,105.9960356
64,105.0416851
65,104.1021314
66,103.1769226
67,102.2656273
68,101.3678331
69,100.4831458
70,99.61118833
71,98.75159945
72,97.90403319
73,97.06815787
74,96.24365535
75,95.43022032
76,94.62755958
77,93.83539144
78,93.0534451
79,92.28146014
80,91.51918594
81,90.76638123
82,90.02281362
83,89.28825917
84,88.56250199
85,87.84533386
86,87.13655385
87,86.43596801
88,85.74338904
89,85.05863599
90,84.38153398
91,83.71191391
92,83.04961223
93,82.39447071
94,81.74633619
95,81.10506037
96,80.4704996
97,79.8425147
98,79.22097079
99,78.60573708
100,77.99668673
101,77.39369668
102,76.79664751
103,76.20542331
104,75.61991151
105,75.04000278
106,74.4655909
107,73.89657263
108,73.33284764
109,72.77431834
110,72.22088983
111,71.6724698
112,71.1289684
113,70.59029819
114,70.05637403
115,69.52711302
116,69.00243442
117,68.48225955
118,67.96651176
119,67.45511632
120,66.94800039
121,66.44509294
122,65.94632469
123,65.45162806
124,64.96093712
125,64.47418752
126,63.99131644
127,63.51226256
128,63.03696601
129,62.5653683
130,62.0974123
131,61.63304221
132,61.17220349
133,60.71484283
134,60.26090812
135,59.81034843
136,59.36311392
137,58.91915589
138,58.47842668
139,58.04087965
140,57.60646919
141,57.17515064
142,56.74688031
143,56.32161541
144,55.89931405
145,55.47993521
146,55.06343872
147,54.64978524
148,54.23893621
149,53.83085386
150,53.42550118
151,53.02284189
152,52.62284044
153,52.22546196
154,51.83067229
155,51.43843791
156,51.04872596
157,50.6615042
158,50.276741
159,49.89440535
160,49.5144668
161,49.13689548
162,48.76166208
163,48.38873783
164,48.01809447
165,47.64970428
166,47.28354003
167,46.91957497
168,46.55778285
169,46.19813788
170,45.84061471
171,45.48518848
172,45.13183471
173,44.78052937
174,44.43124887
175,44.08396998
176,43.7386699
177,43.39532621
178,43.05391685
179,42.71442017
180,42.37681484
181,42.04107991
182,41.70719476
183,41.37513914
184,41.04489309
185,40.716437
186,40.38975157
187,40.06481782
188,39.74161705
189,39.42013089
190,39.10034123
191,38.78223026
192,38.46578046
193,38.15097455
194,37.83779556
195,37.52622675
196,37.21625165
197,36.90785404
198,36.60101794
199,36.29572762
200,35.99196759
201,35.68972257
202,35.38897754
203,35.08971767
204,34.79192837
205,34.49559526
206,34.20070417
207,33.90724113
208,33.61519237
209,33.32454433
210,33.03528364
211,32.74739711
212,32.46087175
213,32.17569476
214,31.89185349
215,31.6093355
216,31.32812849
217,31.04822038
218,30.76959919
219,30.49225317
220,30.21617069
221,29.94134029
222,29.66775066
223,29.39539065
224,29.12424926
225,28.85431563
226,28.58557904
227,28.31802894
228,28.05165489
229,27.78644658
230,27.52239388
231,27.25948674
232,26.99771528
233,26.73706971
234,26.47754041
235,26.21911784
236,25.96179262
237,25.70555545
238,25.45039718
239,25.19630875
240,24.94328125
241,24.69130583
242,24.44037379
243,24.19047653
244,23.94160555
245,23.69375244
246,23.44690892
247,23.2010668
248,22.95621798
249,22.71235447
250,22.46946838
251,22.22755189
252,21.9865973
253,21.74659698
254,21.50754342
255,21.26942916
256,21.03224686
257,20.79598926
258,20.56064915
259,20.32621946
260,20.09269316
261,19.86006332
262,19.62832307
263,19.39746565
264,19.16748435
265,18.93837255
266,18.71012369
267,18.4827313
268,18.25618898
269,18.0304904
270,17.80562928
271,17.58159945
272,17.35839478
273,17.13600921
274,16.91443675
275,16.69367148
276,16.47370754
277,16.25453913
278,16.03616051
279,15.81856602
280,15.60175005
281,15.38570704
282,15.1704315
283,14.955918
284,14.74216117
285,14.52915568
286,14.31689626
287,14.10537772
288,13.8945949
289,13.6845427
290,13.47521607
291,13.26661001
292,13.05871958
293,12.85153989
294,12.6450661
295,12.43929341
296,12.23421707
297,12.02983239
298,11.82613472
299,11.62311945
300,11.42078204
